COMPANY,STREET,CITY,STATE,ZIPPOSTAL_CODE,PHONE,TOLLFREE,FAX,EMAIL,WEBSITE,ULTIMATE_PARENT_NAME1,ULTIMATE_PARENT_CITY1,ULTIMATE_PARENT_STATE1,DIRECT_REPORTAGE_NAME1,FAMILY_ROLE1,NAME1,EMAIL1,TITLE2,NAME2,EMAIL2,TITLE3,NAME3,EMAIL3,TITLE4,NAME4,EMAIL4,TITLE5,NAME5,EMAIL5,TITLE6,NAME6,EMAIL6,TITLE7,NAME7,EMAIL7,TITLE8,NAME8,EMAIL8,TITLE9,NAME9,EMAIL9,TITLE10,NAME10,EMAIL10,BUSINESS_DESCRIPTION,YEAR_FOUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TITLE131,NAME131,EMAIL131,TITLE132,NAME132,EMAIL132,TITLE133,NAME133,EMAIL133,TITLE134,NAME134,EMAIL134,TITLE135,NAME135,EMAIL135,TITLE136,NAME136,EMAIL136,TITLE137,NAME137,EMAIL137,TITLE138,NAME138,EMAIL138,TITLE139,NAME139,EMAIL139,TITLE140,NAME140,EMAIL140,TITLE141,NAME141,EMAIL141,TITLE142,NAME142,EMAIL142,TITLE143,NAME143,EMAIL143,TITLE144,NAME144,EMAIL144,TITLE145,NAME145,EMAIL145,TITLE146,NAME146,EMAIL146,TITLE147,NAME147,EMAIL147,TITLE148,NAME148,EMAIL148,TITLE149,NAME149,EMAIL149,DIRECT_REPORTAGE_NAME3,FAMILY_ROLE3
9Round-Gastonia Inc.,118 Forrester Creek Dr,Greenville,SC,29607,,(866) 619-7978,,,www.9round.com,,,,,,Jimmy Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A New Leaf,868 E University Dr,Mesa,AZ,85203,(480) 969-4024,(800) 799-7739,(480) 969-0039,,www.turnanewleaf.org,,,,,,Mark Schnepf,MSchnepf@turnanewleaf.org,Chm,Barbara Bennett,BBennett@turnanewleaf.org,Chm,Deanna Villanueva-Saucedo,dvillanueva-saucedo@turnanewleaf.org,Vice Chm,Brad Snyder,bsnyder@turnanewleaf.org,Co-CEO,Michael T. Hughes,mhughes@turnanewleaf.org,Co-CEO,Robin Romano,RRomano@turnanewleaf.org,CFO,Catherine Dyciewski,cdyciewski@turnanewleaf.org,COO,Connie Orr,corr@turnanewleaf.org,Chief Program Officer,Kathy Di Nolfi,KDiNolfi@turnanewleaf.org,Chief Philanthropy Officer,Joe Dulin,jdulin@turnanewleaf.org,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AAMCO Transmissions, Inc.",201 Gibraltar Rd Ste #100,Horsham,PA,19044,(610) 668-2900,(800) 462-2626,,,www.aamco.com,Ares Management Corporation,Los Angeles,CA,Ares Management Corporation,Subsidiary,Jim  Gregory,JGregory@aamco.com,Sr VP,Brian  O'Donnell,BODonnell@aamco.com,VP-Mktg,Jack Bachinsky,jbachinsky@aamco.com,"VP-Franchise Sls, Dev & Real Estate",Eric  Meyer,EMeyer@aamco.com,,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABF Freight System, Inc.",3801 Old Greenwood Rd,Fort Smith,AR,72903-5937,(479) 785-8803,(800) 610-5544,(800) 599-2810,,www.arcbest.com,ArcBest Corporation,Fort Smith,AR,ArcBest Corporation,Subsidiary,Tim  Thorne,Tim.Thorne@abfs.com,Sr VP-Ops,Michael R. Moss,Michael.Moss@abfs.com,VP-Terminal Ops,Murray Babb,Murray.Babb@abfs.com,VP-Economic Analysis,Chris Burton,Chris.Burton@abfs.com,VP-Real Estate,Walter Echols,Walter.Echols@abfs.com,VP-Indus Rels,William David Evans,William.Evans@abfs.com,VP-Equipment & Maintenance,Gary W. Hunt,Gary.Hunt@abfs.com,VP-Sls,James Keenan,James.Keenan@abfs.com,VP-Transportation,Shannon Lively,Shannon.Lively@abfs.com,VP-Corp Sls,Kirk R. May,Kirk.May@abfs.com,,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECOM,800 LaSalle Ave,Minneapolis,MN,55402-2014,(612) 376-2000,,(612) 376-2271,info@aecom.com,www.aecom.com,AECOM,Los Angeles,CA,"AECOM USA, Inc.",Branch,Brian  Dusek,,Principal & Dir-Interiors,Stephen  Knowles,,Dir-Interiors Ops,Kristina  Johnston,,Sr Mgr-Mechanical Dept,Kate  Zwicky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEGON USA Realty Advisors, LLC",330 Madison Ave 22nd Fl,New York,NY,10001,(212) 251-0101,,(866) 352-6681,,www.aegonrealty.com,Aegon N.V.,Hague,,"AEGON USA, Inc.",Subsidiary,Gary Black,GBlack@aegonusa.com,Exec VP,David Feltman,DFeltman@aegonusa.com,Sr VP-Agribus Grp,Steve Noonan,SNoonan@aegonusa.com,Sr VP,Thomas Schefter,TSchefter@aegonusa.com,Sr VP,Lindsay Schumacher,LSchumacher@aegonusa.com,Mng Dir-Comml Mortgage Loan Origination,Michael  Carcaterra,mcarcaterra@aegonusa.com,Mng Dir-Comml Mortgage Loan Origination,David Crew,dcrew@aegonusa.com,Mng Dir-Comml Mortgage Loan Origination,Jim Grant,JGrant@aegonusa.com,Mng Dir-Comml Mortgage Loan Origination,Matt Palmer,MPalmer@aegonusa.com,VP-Distr,Lynn Ambrosy,LAmbrosy@aegonusa.com,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEW Capital Management, L.P.",World Trade Ctr E 2 Seaport Ln,Boston,MA,02210-2021,(617) 261-9000,,(617) 261-9555,,www.aew.com,Groupe BPCE,Paris,,"Natixis Global Asset Management, L.P.",Subsidiary,Jeffrey Davis Furber,jfurber@aew.com,"Mng Dir, Gen Counsel & Chief Compliance Officer",James J. Finnegan,jfinnegan@aew.com,Mng Dir & Head-Direct Investment Grp,Pamela J. Herbst,pherbst@aew.com,Mng Dir & Dir-Res,Michael J. Acton,macton@aew.com,Mng Dir & Dir-Acq,Robert J. Plumb,rplumb@aew.com,Mng Dir & Sr Portfolio Mgr-Construction & Mgmt-Real Estate,Matthew A. Troxell,mtroxell@aew.com,Mng Dir & Portfolio Mgr-Partners Funds,Marc L. Davidson,mdavidson@aew.com,Mng Dir-Mktg & Client Svcs,Steven D. Corkin,SCorkin@aew.com,VP-Mktg & Client Svcs,Elizabeth Herlihy,EHerlihy@aew.com,,,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERCO,5555 Kietzke Ln Ste 100,Reno,NV,89511,(775) 688-6300,,(775) 688-6338,investorrelations@amerco.com,www.amerco.com,AMERCO,Reno,NV,,,Edward J. Shoen,Edward_Shoen@uhaul.com,CFO,Jason A. Berg,Jason_Berg@uhaul.com,Chief Acctg Officer,Maria Lourdes Bell,Maria_Bell@uhaul.com,Pres-Repwest Insurance,Douglas M. Bell,Douglas_Bell@uhaul.com,Pres-Oxford Life Insurance,Mark A. Haydukovich,Mark_Haydukovich@uhaul.com,Pres-U-Haul,John C. Taylor,John_Taylor@uhaul.com,Pres-Real Estate,Carlos Vizcarra,Carlos_Vizcarra@uhaul.com,Gen Counsel,Laurence J. De Respino,laurence_derespino@uhaul.com,Dir-IR,Sebastien  Reyes,Sebastien_Reyes@uhaul.com,Project Mgr-U-Box,Samuel J. Shoen,Samuel_Shoen@uhaul.com,"Incorporated in 1969 and headquartered in Reno, NV, AMERCO (NASDAQ: UHAL) is a do-it-yourself moving and storage operator. The company offers products and services for moving and storing household and commercial goods, through its subsidiary. It operates in three segments: moving & storage, property & casualty insurance, and life insurance. The company's moving & storage segment rents trucks; trailers; portable moving and storage units; and specialty rental items and self-storage spaces to the household mover and sales of moving supplies; and towing accessories and propane. According to the company's current 10K government filing, it had FYE 03/31/2019 revenue of $3.7 billion and has 30,000 employees.",1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aerohive Networks, Inc.",1011 McCarthy Blvd,Milpitas,CA,95035,(408) 510-6100,(866) 918-9918,(408) 510-6199,info365@aerohive.com,www.aerohive.com,"Extreme Networks, Inc.",San Jose,CA,"Extreme Networks, Inc.",Subsidiary,David K. Flynn,,"CFO, COO-Fin & Bus Ops & Sr VP",John  Ritchie,,"Gen Counsel, Sec & VP",Steve M. Debenham,,Sr VP & Gen Mgr-Product & Sls,Alan Cuellar Amrod,,VP-HR & Real Estate,Valerie  Junger,,VP-Mktg,John  Merrill,,,,,,,,,,,,,,"Founded in 2006 and headquartered in Milpitas, CA, Aerohive Networks, Inc. (NYSE: HIVE) is a cloud networking company. The company has four products and solutions including Enterprise Cloud Networking, Wi-Fi as the Primary Connectivity, Cloud-Managed Network Access Control (NAC), and Machine Learning and Artificial Intelligence. It's cloud-managed wireless, switching, routing, and security technologies involved in deployment, management and licensing of network. The company provides network operations for 30,000+ customers and 10+ million daily users. According to the company's current 10K government filing, it had FYE 12/31/2018 revenue of $154.9 million and has 460 employees.",2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetna Realty Financial Corp.,450 7th Ave 45th Fl,New York,NY,10123,(212) 244-6650,,(212) 244-6651,,www.aetnarealty.com,United States Realty & Investment Company,New York,NY,United States Realty & Investment Company,Subsidiary,Ivor Braka,,VP & Dir-Real Estate,Gerald J. Valerius,gvalerius@aetnarealty.com,VP,Benjamin M. Braka,,VP,David Braka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
