Company Name,Address(Dallas based),Phone number,Website,Activity,Description,Orbis URL
DALLAS MARKET CENTER CO LTD,2100 N STEMMONS FWY,+1 214 744 7444,www.dallasmarketcenter.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/38
DEVONSGHIRE / STANDRIDGE COMPANIES,15640 QUORUM DR,+1 214 363 1998,www.standridge-co.com,"Corporate, Property Services","Private 
This company is Independent (but not the Global Ultimate Owner of a Corporate Group)",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/86
POWER PROPERTY MANAGEMENT INC,5923 GASTON AVE,+1 469 334 0922,www.powerproperties.com,"Corporate, Property Services","Private 
This company is Independent (but not the Global Ultimate Owner of a Corporate Group)",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/45
LRO REALTY & RESTORATION INC,5731 SOUTHWESTERN BLVD,+1 214 676 4119,www.lroresidential.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/43
MILL CREEK RESIDENTIAL TRUST LLC,"2001 BRYAN ST, STE 3275",+1 214 922 8500,www.millcreekplaces.com,Mutual and pension fund/Nominee/Trust/Trustee,"Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/46
CAWLEY INTERNATIONAL,14785 PRESTON RD,+1 972 759 7800,www.cawleypartners.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/26
ACCOLADE PROPERTY MANAGEMENT,621 COWBOYS PKWY,+1 214 496 0600,www.accoladepm.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/32
LUMACORP INC,8300 DOUGLAS AVE,+1 214 361 6666,www.lumacorp.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/25
RAW FIREWHEEL TOWN CENTER,355 CEDAR SAGE DR,+1 972 675 1041,www.remax.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/60
PELOTON REAL ESTATE PARTNERS LLC,5429 LYNDON B JOHNSON FWY,+1 972 503 1997,www.pelotonrealty.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/12
HORN-BARLOW COMPANIES,"8333 DOUGLAS AVE, STE 1550",+1 214 748 1119,www.hornbarlow.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/30
LEON CAPITAL GROUP LLC,"2311 CEDAR SPRINGS RD, STE 100",+1 214 865 8082,www.leoncapitalgroup.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/87
BRADFORD COMPANIES,9400 N CENTRAL EXPY,+1 972 776 7027,www.bradford.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/78
CROW DESIGN CENTERS LTD,1400 TURTLE CREEK BLVD,+1 214 748 0064,www.dallasdesigndistrict.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/35
CARUTH AT LINCOLN PARK,5445 CARUTH HAVEN LN,+1 214 216 6764,www.thecaruth.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/98
OPEN HOUSE TEXAS REALTY & INVESTMENTS LLC,"5050 QUORUM DR, STE 610",+1 972 339 2034,www.oh.openhouse-group.com,Financial company,"Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/91
BRYAN TOWER LP,2001 BRYAN ST,+1 214 740 2310,www.spirerealty.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/59
BH MANAGEMENT SERVICES INC,"2711 N HASKELL AVE, STE 2650",+1 214 965 9363,www.bhmanagement.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/47
PRA CONSTRUCTION LP,"10210 N CENTRAL EXPY, STE 300",+1 972 385 4100,www.providentrealty.net,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/21
IFM RESTORATION LLC,"7859 WALNUT HILL LN, STE 310",www.ifmrestoration.com,null,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/85
JAVELIN CAPITAL PARTNERS,"3232 MCKINNEY AVE, STE 890",+1 214 215 8989,www.thejavelingroup.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/67
SOUTHWEST CENTER MALL,3662 W CAMP WISDOM RD,+1 972 296 1491,www.swcmall.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/80
ST MORITZ LUXURY APARTMENTS,5665 ARAPAHO RD,+1 972 301 8323,www.livestmoritz.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/96
DALLAS CONVENTION CENTER,650 S GRIFFIN ST,+1 214 939 2750,www.dallasconventioncenter.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/36
INTERCITY INVESTMENTS PARTNERSHIP,4301 WESTSIDE DR,+1 214 520 2565,www.icimanagement.com,Financial company,"Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/16
CRESCENT PROPERTY SERVICES LLC,"200 CRESCENT CT, STE 250",www.thecrescent.com,null,"Corporate, Property Services","Private 
The Global Ultimate Owner of this controlled subsidiary is BARCLAYS PLC",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/64
PILLAR COMMERCIAL LLC,"7920 BELT LINE RD, STE 900",+1 972 437 2444,www.pillarcommercial.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/65
SYMETRIX GROUP LLC,200 CRESCENT CT,+1 214 880 8680,null,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/13
FEDERAL TITLE INC,1795 NORTHWEST HWY,+1 972 271 1700,www.northtexastitlegreenville.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/72
WESTBROOK LAND INVESTMENTS LLC,3030 LYNDON B JOHNSON FWY,+1 972 443 6000,null,Financial company,"Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/61
BILLINGSLEY PROPERTY SERVICES INC,"1722 ROUTH ST, STE 770",+1 214 270 0977,www.billingsleyco.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/11
GAEDEKE GROUP LLC,"3710 RAWLINS ST, STE 1100",+1 214 528 8883,www.gaedeke.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/15
PRICE REALTY CORP,4125 CENTURION WAY,+1 972 788 1925,www.pricerealtycorp.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/22
DON SMITH & ASSOCIATES,14275 WELCH RD,+1 972 239 4070,www.expressofficefurniture.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/92
QUINE ASSOCIATES INC,301 S SHERMAN ST,+1 972 669 8440,www.quine.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/58
JGB VENTURES INC,"3100 MONTICELLO AVE, STE 600",+1 214 515 7000,www.westl.com,"Corporate, Property Services","Private 
This company is the Global Ultimate Owner of the corporate group",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/29
CITY GATE PROPERTY GROUP,"8111 LYNDON B JOHNSON FWY, STE 1550",+1 972 308 9940,www.citygatepropertygroup.com,"Corporate, Property Services","Private 
This company is a Single location",https://orbis-bvdinfo-com.proxy.library.upenn.edu/version-202036/orbis/1/Companies/Report/seq/79
